STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT03
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-03-19,,,0,,,20,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-03-20,,,16.8,,,15.6,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-03-21,,,0,,,15.6,9.4,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-03-22,,,15.5,,,13.3,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-03-23,,,1.5,,,14.4,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-03-24,,,0,,,18.3,8.9,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-03-25,,,4.6,,,16.7,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-03-26,,,3,,,17.8,9.4,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-03-27,,,0.5,,,16.1,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-03-28,,,2,,,17.2,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-03-29,,,0,,,15,9.4,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-03-30,,,0,,,17.8,9.4,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-03-31,,,0,,,22.2,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-01,,,0.5,,,16.7,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-02,,,2.5,,,15.6,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-03,,,0,,,15,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-04,,,0.3,,,17.2,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-05,,,3.3,,,16.7,12.2,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-06,,,0.5,,,18.9,12.8,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-07,,,0,,,19.4,13.3,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-08,,,1.5,,,21.1,12.2,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-09,,,0,,,16.1,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-10,,,0,,,17.2,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-11,,,0,,,15,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-12,,,0,,,17.8,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-13,,,0,,,20.6,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-14,,,0,,,13.9,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-15,,,0.5,,,13.9,9.4,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-16,,,1.5,,,16.1,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-17,,,0,,,18.3,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-18,,,0,,,23.9,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-19,,,0,,,16.1,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-20,,,0.3,,,14.4,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-21,,,0,,,17.2,9.4,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-22,,,0,,,22.8,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-23,,,0,,,27.8,12.2,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-24,,,0,,,23.3,13.3,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-25,,,0,,,15.6,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-26,,,0,,,17.2,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-27,,,0,,,16.1,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-28,,,0,,,15.6,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-29,,,0,,,16.7,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-04-30,,,0,,,15.6,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-01,,,0,,,17.8,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-02,,,0,,,18.3,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-03,,,0,,,16.1,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-04,,,0,,,15,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-05,,,0,,,15,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-06,,,0,,,14.4,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-07,,,0,,,16.7,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-08,,,0,,,16.1,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-09,,,0,,,16.7,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-10,,,0,,,17.2,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-11,,,0,,,16.1,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-12,,,0,,,15,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-13,,,0,,,15.6,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-14,,,0,,,16.1,12.2,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-15,,,13.2,,,17.2,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-16,,,6.6,,,15,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-17,,,0,,,16.1,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-18,,,19.6,,,13.3,11.1,,
